filename,genre
Ramon Bedoya - Los Colores (Original Mix),TRUE
Ramon Bedoya - Rezos (Original Mix),TRUE
Rauschhaus - Mindworm (Ruben Karapetyan Remix),TRUE
Rex The Dog - Not Going Home (Original Mix),TRUE
RÜFÜS DU SOL - Edge of the Earth (Arodes Remix),TRUE
Samaran - Paris Madness (Club),TRUE
Schrotthagen - Schattenkinder (Original Mix),TRUE
"Sebastian Rivero, Umaedo - Save U (Original Mix)",TRUE
"Serge Devant, Camille Safiya - Solace (Seth Troxler & Nick Morgan Remix - Extended Version)",TRUE
SHAGY - Sweat ! (Original Mix),TRUE
Shanti Celeste - Cutie (Original Mix),TRUE
Siggy Freud - Lemme Get Down (Original Mix),TRUE
Sloujin - Bebé (Extended),TRUE
Somewhen - Neon (Original Mix),TRUE
Somewhen - Promise (Original Mix),TRUE
"Sonny Fodera, Clementine Douglas - Tell Me (Extended Mix)",TRUE
"Sonny Fodera, D.O.D, Poppy Baskcomb - Think About Us (Extended Mix)",TRUE
SPACHO & LAMOR - Make U (Original Mix),TRUE
Super Flu - We You (Adam Ten Extended Remix),TRUE
Supernova - Velvet Avenue (Extended Mix),TRUE
Tim Sanders - Do To Me (Extended Mix),TRUE
"Tom & Collins, OMRI. - Dancing Shoes (Extended)",TRUE
Tom Santa - I Like How U Do It (Original Mix),TRUE
Tony Dark Eyes - Body Movin (Extended Mix),TRUE
Tony Dark Eyes - Dirty Dancin (Extended Mix),TRUE
Tony Dark Eyes - Favela (Extended Mix),TRUE
Tony Dark Eyes - Push (Extended Mix),TRUE
Tony Dark Eyes - Want It (Extended Mix),TRUE
Ueberrest - All You Want (Original Mix),TRUE
Vav Vardanian - Ayana (Original Mix),TRUE
Vintage Culture - Strange Feelings (Extended),TRUE
"Vintage Culture, Gabss - Lost (Original Mix)",TRUE
"Vintage Culture, NoMBe - Pleasure Chasers (Extended)",TRUE
Volkoder - All Night Long (Original Mix),TRUE
"WhoMadeWho, Tripolism - Flying Away with You (Original Mix)",TRUE
Willo (AU) - Funk2 (Extended Mix),TRUE
"Yamagucci, Mary Jane (US) - Please You (Original Mix)",TRUE
Indira Paganotto - Kalima,TRUE
KREAM - So Hï (Extended Mix),TRUE
"Rafael, Mishell - Naughty (Extended)",TRUE
Ramon Bedoya & Yerathel - Cielo,TRUE
"Maceo Plex, Oscar and the Wolf - All Night (Garage Version)",TRUE
Maceo Plex & Chromatics - Shadow (Maceo Plex Remix),TRUE
"Dazed, Ramon Bedoya - Así",TRUE
"Tom & Collins, JADED, CRCLE - IBIZA",TRUE
"Miguelle & Tons, Ollie BC - Un Tanto",TRUE
"Miguelle, Tons, Barbara Doza - La Pista Es Mía",TRUE
"Rafael, Nariman - Another Dimension (feat. Eliza Legzdina)",TRUE
Ramon Bedoya - Antamawa,TRUE
Deep Tech House  - Whigfeld - Sexy Eyes ( Extended ),TRUE
"Rebūke, Konstantin Sibold, ZAC, CARMEE - Along Came Polly (Konstantin Sibold, ZAC, CARMEE Remix)",TRUE
Bollmann - Rampage (Punktmidi Remix),TRUE
The Rocketman - Loca,TRUE
Simes - Otra Vez,TRUE
Ramon Bedoya - Inframundo,TRUE
"Adam Ten, Asulin - Warawara",TRUE
Frank Biazzi - The Present,TRUE
Jordan Peak - Front 2 Back (Extended Mix),TRUE
Ramon Bedoya - El Viaje,TRUE
Ramon Bedoya - Ao Fundo,TRUE
Tre Reynolds - On Deck,TRUE
"Adam Ten, Yamagucci - The K Dance",TRUE
Ethan Walsh & Franky Rizardo - Look Good (Franky Rizardo Remix),TRUE
Vintage Culture - Bros,TRUE
Tony Dark Eyes - In My Mind,TRUE
"Skrillex, Boys Noize, Dylan Brady - ZEET NOISE",TRUE
"Fred again.., Skrillex, Four Tet - Baby again..",TRUE
Ernesto Carrera (VE) - Sola,TRUE
RÜFÜS DU SOL - Wildfire (Colyn Remix),TRUE
Mita Gami - All By Myself,TRUE
AJ Christou & Jesse Calosso - Small Talk,TRUE
AJ Christou - Back & Forth,TRUE
Harvy Valencia - Moviendo el tarro,TRUE
Biscits - Voodoo,TRUE
Ramon Bedoya - Voce Para Mim,TRUE
"Fenky, Alberto Dimeo - Do You Like My Flow (Original Mix)",TRUE
Sweely - Extra Man (Extended Mix),TRUE
Rad&Co - Want It All (Original Mix),TRUE
"Guy Gerber, Albertina - Bocat (Remix) (Michael Bibi Remix)",TRUE
"Doozie, Vintage Culture, Lauren Nicole - Get Naughty (Original Mix)",TRUE
"Chris Lorenzo, Max Styler, Audio Bullys - London's On Fire (Extended Mix)",TRUE
"InntRaw, Zaark, fezzo - Sky (Extended Mix)",TRUE
"Nic Fanciulli, Robert Courtois - Set Me Free (Extended Mix)",TRUE
Soko Leoko - Unfitted (Original Mix),TRUE
